Name,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,
DIW0,Word,%IW0,FALSE,TRUE,TRUE,
I_Enc_SyncVR_A,Bool,%I0.0,FALSE,TRUE,TRUE,[1]固定式編碼轉輪-ENC-A
I_Enc_SyncVR_B,Bool,%I0.1,FALSE,TRUE,TRUE,[1]固定式編碼轉輪-ENC-B
I_Enc_Length,Bool,%I0.2,FALSE,TRUE,TRUE,[2]輪式計尺 ( FOTEK PS-05N ) 
I_PB_EStop_MainOP,Bool,%I1.0,FALSE,TRUE,TRUE,主操作緊急停止按鈕(a接點)
I_EStop,Bool,%I1.5,FALSE,TRUE,TRUE,急停模組檢出(備用)
DIW2,Word,%IW2,FALSE,TRUE,TRUE,
I_PB_Ex1_Inc,Bool,%I2.0,FALSE,TRUE,TRUE,75EX加速(Main OP)
I_PB_Ex1_Dec,Bool,%I2.1,FALSE,TRUE,TRUE,75EX減速(Main OP)
I_F_Ex1_Mtr_OvrHt,Bool,%I2.2,FALSE,TRUE,TRUE,75EX馬達超溫
I_F_Ex1_MtrFan_OvrLd,Bool,%I2.3,FALSE,TRUE,TRUE,75EX馬達風扇過載
I_F_Ex1_DrvFlt,Bool,%I2.4,FALSE,TRUE,TRUE,75EX控制器故障(Danfoss DO1)
I_PB_Cap_Inc,Bool,%I3.0,FALSE,TRUE,TRUE,雙輪引取加速(Main OP)
I_PB_Cap_Dec,Bool,%I3.1,FALSE,TRUE,TRUE,雙輪引取減速(Main OP)
I_F_Cap_Mtr_OvrHt,Bool,%I3.2,FALSE,TRUE,TRUE,雙輪馬達超溫(舊有設備)
I_F_Cap_MtrFan_OvrLd,Bool,%I3.3,FALSE,TRUE,TRUE,雙輪馬達風扇過載(舊有設備)
I_F_Cap_DrvFlt,Bool,%I3.4,FALSE,TRUE,TRUE,雙輪控制器故障(舊有設備)
I_F_cat_door_lock,Bool,%I3.7,FALSE,TRUE,TRUE,
DIW4,Word,%IW4,FALSE,TRUE,TRUE,
I_PB_Ex2_Inc,Bool,%I4.0,FALSE,TRUE,TRUE,60EX加速(Main OP)
I_PB_Ex2_Dec,Bool,%I4.1,FALSE,TRUE,TRUE,60EX減速(Main OP)
I_F_Ex2_Mtr_OvrHt,Bool,%I4.2,FALSE,TRUE,TRUE,60EX馬達超溫(舊有設備)
I_F_Ex2_MtrFan_OvrLd,Bool,%I4.3,FALSE,TRUE,TRUE,60EX馬達風扇過載(舊有設備)
I_F_Ex2_DrvFlt,Bool,%I4.4,FALSE,TRUE,TRUE,60EX控制器故障(舊有設備)
I_F_Spark_HF,Bool,%I5.7,FALSE,TRUE,TRUE,高頻火花機檢出(冷水槽出口)
DIW6,Word,%IW6,FALSE,TRUE,TRUE,
I_PB_Start,Bool,%I6.0,FALSE,TRUE,TRUE,全線啟動按鈕
I_PB_Stop,Bool,%I6.1,FALSE,TRUE,TRUE,全線停止按鈕
I_PB_Bell,Bool,%I6.2,FALSE,TRUE,TRUE,電鈴按鈕
I_PB_Reset,Bool,%I6.3,FALSE,TRUE,TRUE,故障復歸按鈕
I_S_Takupe_Run,Bool,%I7.0,FALSE,TRUE,TRUE,1250MM雙軸運轉(PMC-539)(備用)
I_S_Takeup_Stop,Bool,%I7.1,FALSE,TRUE,TRUE,1250MM雙軸停機(PMC-539)(備用)
I_S_Takeup_ChgOvr,Bool,%I7.2,FALSE,TRUE,TRUE,1250MM雙軸預尺降速(PMC-539)(備用)
I_S_Taekup_EStop,Bool,%I7.3,FALSE,TRUE,TRUE,1250MM雙軸急停(PMC-539)(備用)
In_Spark_PayOff_Wbk,Bool,%I7.4,FALSE,TRUE,TRUE,
I_F_dancer_low,Bool,%I7.5,FALSE,TRUE,TRUE,
I_F_ES_spooler,Bool,%I7.6,FALSE,TRUE,TRUE,
I_F_Payoff_Wire_Break,Bool,%I7.7,FALSE,TRUE,TRUE,斷線檢出(雙筒給線)
DIW20,Word,%IW20,FALSE,TRUE,TRUE,
I_TC1_F_CoolFan_1,Bool,%I20.0,FALSE,TRUE,TRUE,ZONE-1冷卻故障
I_TC1_F_CoolFan_2,Bool,%I20.1,FALSE,TRUE,TRUE,ZONE-2冷卻故障
I_TC1_F_CoolFan_3,Bool,%I20.2,FALSE,TRUE,TRUE,ZONE-3冷卻故障
I_TC1_F_CoolFan_4,Bool,%I20.3,FALSE,TRUE,TRUE,ZONE-4冷卻故障
I_TC1_MissingMaterial,Bool,%I20.6,FALSE,TRUE,TRUE,光照低料位檢出
I_TC1_LubFlow,Bool,%I20.7,FALSE,TRUE,TRUE,流量閥檢出
DIW30,Word,%IW30,FALSE,TRUE,TRUE,
I_TC2_MissingMaterial,Bool,%I30.6,FALSE,TRUE,TRUE,低料位檢出
I_TC2_LubFlow,Bool,%I30.7,FALSE,TRUE,TRUE,流量閥檢出
DQW0,Word,%QW0,FALSE,TRUE,TRUE,
Q_Ex1_Run,Bool,%Q0.0,FALSE,TRUE,TRUE,120EX運轉
Q_Ex2_Run,Bool,%Q0.2,FALSE,TRUE,TRUE,60EX運轉(舊有設備)
Q_Cap_Run,Bool,%Q0.4,FALSE,TRUE,TRUE,雙輪(運轉/油幫浦/放煞車)(舊有設備)
Q_Cap_Brake,Bool,%Q0.5,FALSE,TRUE,TRUE,雙輪引取煞車(RLY)(通電放煞車)
In_spark_enable,Bool,%Q0.6,FALSE,TRUE,TRUE,
Q_Cooling_Fan,Bool,%Q1.1,FALSE,TRUE,TRUE,冷卻風扇(RLY)
DQW2,Word,%QW2,FALSE,TRUE,TRUE,
Q_Lamp_Run,Bool,%Q2.0,FALSE,TRUE,TRUE,運轉燈(塔燈)+運轉燈(Main OP)
Q_Lamp_Stop,Bool,%Q2.1,FALSE,TRUE,TRUE,停止燈(塔燈)+停止燈(Main OP)
Q_Lamp_Error,Bool,%Q2.2,FALSE,TRUE,TRUE,故障燈(塔燈)
Q_Lamp_Alarm,Bool,%Q2.3,FALSE,TRUE,TRUE,復歸燈(Main OP)
cat_door_open,Bool,%Q2.4,FALSE,TRUE,TRUE,
Q_Bell,Bool,%Q2.5,FALSE,TRUE,TRUE,押出電鈴輸出(RLY)
Q_Reset,Bool,%Q2.6,FALSE,TRUE,TRUE,故障復歸(RLY)
Q_Missing_Material,Bool,%Q2.7,FALSE,TRUE,TRUE,缺料警報(RLY)
Q_Vacuum,Bool,%Q3.0,FALSE,TRUE,TRUE,真空幫浦(RLY)
Q_caterpillar,Bool,%Q3.1,FALSE,TRUE,TRUE,
Q_Air_blower,Bool,%Q3.2,FALSE,TRUE,TRUE,吹氣電磁閥(RLY)
Q_ES_relay,Bool,%Q3.3,FALSE,TRUE,TRUE,
Q_dancer_low_disable,Bool,%Q3.4,FALSE,TRUE,TRUE,
Q_Spark_HF,Bool,%Q3.5,FALSE,TRUE,TRUE,高頻火花機啟動(RLY)
Q_EStop_Reset,Bool,%Q3.6,FALSE,TRUE,TRUE,急停模組復歸(RLY)(備用)
Q_EStop_Out,Bool,%Q3.7,FALSE,TRUE,TRUE,安全急停輸出(RLY)(備用)
DQW4,Word,%QW4,FALSE,TRUE,TRUE,
Q_Mixer_1_Run,Bool,%Q5.0,FALSE,TRUE,TRUE,75EX色料機L.H啟動(RLY)
Q_Mixer_1_valve,Bool,%Q5.1,FALSE,TRUE,TRUE,75EX色料機L.H寸動(RLY)(備用)
Q_Mixer_2_Run,Bool,%Q5.2,FALSE,TRUE,TRUE,75EX色料機R.H啟動(RLY)
Q_Mixer_2_valve,Bool,%Q5.3,FALSE,TRUE,TRUE,75EX色料機R.H寸動(RLY)(備用)
Q_Mixer_3_Run,Bool,%Q5.4,FALSE,TRUE,TRUE,60EX色料機L.H啟動(RLY)
Q_Mixer_3_valve,Bool,%Q5.5,FALSE,TRUE,TRUE,60EX色料機L.H寸動(RLY)(備用)
Q_Mixer_4_Run,Bool,%Q5.6,FALSE,TRUE,TRUE,60EX色料機R.H啟動(RLY)
Q_Mixer_4_valve,Bool,%Q5.7,FALSE,TRUE,TRUE,60EX色料機R.H寸動(RLY)(備用)
DQW20,Word,%QW20,FALSE,TRUE,TRUE,
Q_TC1_H_Zone_1,Bool,%Q20.0,FALSE,TRUE,TRUE,ZONE-1加熱(2.4KW)
Q_TC1_H_Zone_2,Bool,%Q20.1,FALSE,TRUE,TRUE,ZONE-2加熱(2.4KW)
Q_TC1_H_Zone_3,Bool,%Q20.2,FALSE,TRUE,TRUE,ZONE-3加熱(2.4KW)
Q_TC1_H_Zone_4,Bool,%Q20.3,FALSE,TRUE,TRUE,ZONE-4加熱(2.4KW)
Q_TC1_H_Neck,Bool,%Q20.4,FALSE,TRUE,TRUE,NECK頸部加熱(?W)
